epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1638.09,2.08564,1.56936,1.01959,0.5385,0.53563,0.52619,0.2277,1.96571,1.62558,1.01344,0.0011882,0.0011882,0.0011882
43,1675.73,2.03647,1.49148,0.9891,0.56328,0.50117,0.52247,0.23306,1.94623,1.59972,1.01346,0.0011684,0.0011684,0.0011684
44,1713.67,2.03586,1.49964,0.99707,0.54024,0.55521,0.54492,0.24109,1.94021,1.55446,1.00553,0.0011486,0.0011486,0.0011486
45,1750.8,2.05064,1.47727,1.00316,0.56816,0.54346,0.55129,0.24517,1.93001,1.56031,1.00111,0.0011288,0.0011288,0.0011288
46,1787.62,2.02949,1.4577,1.01294,0.57622,0.52387,0.53661,0.22847,1.94111,1.58502,1.00053,0.001109,0.001109,0.001109
47,1824.35,2.0937,1.54519,1.00275,0.51353,0.50666,0.49351,0.20512,2.00975,1.66157,1.01406,0.0010892,0.0010892,0.0010892
48,1860.82,2.00879,1.47595,1.00068,0.57192,0.5184,0.53366,0.24116,1.95687,1.57896,1.00987,0.0010694,0.0010694,0.0010694
49,1897.43,1.97954,1.49692,0.99112,0.54503,0.46998,0.49047,0.21724,1.96045,1.82677,1.01264,0.0010496,0.0010496,0.0010496
50,1935.11,1.96819,1.45937,0.99005,0.50446,0.49883,0.49092,0.20207,1.99559,1.61641,1.01997,0.0010298,0.0010298,0.0010298
51,1976.79,2.00983,1.45778,0.99615,0.54638,0.57165,0.53813,0.23942,1.93202,1.57005,1.00939,0.00101,0.00101,0.00101
52,2018.46,2.03156,1.50067,0.99999,0.56571,0.54879,0.55031,0.24305,1.91627,1.53457,1.01095,0.0009902,0.0009902,0.0009902
53,2059.93,1.95595,1.40508,0.9802,0.54999,0.56085,0.55449,0.24626,1.92536,1.57919,1.01662,0.0009704,0.0009704,0.0009704
54,2100.31,2.01077,1.46926,0.97521,0.49822,0.53261,0.49687,0.20674,1.9644,1.62534,1.00225,0.0009506,0.0009506,0.0009506
